County,Cases,Deaths,Hospitalizations,Date,State,Abbr,FIPS
Stafford,221,2,43,2020-04-27,Virginia,VA,51179
Surry,4,1,1,2020-04-27,Virginia,VA,51181
Sussex,30,1,3,2020-04-27,Virginia,VA,51183
Tazewell,5,0,0,2020-04-27,Virginia,VA,51185
Warren,47,0,3,2020-04-27,Virginia,VA,51187
Washington,34,3,8,2020-04-27,Virginia,VA,51191
Westmoreland,21,0,2,2020-04-27,Virginia,VA,51193
Wise,22,1,9,2020-04-27,Virginia,VA,51195
Wythe,11,1,1,2020-04-27,Virginia,VA,51197
York,45,1,6,2020-04-27,Virginia,VA,51199
Alexandria City,653,20,82,2020-04-27,Virginia,VA,51510
Bristol,1,0,0,2020-04-27,Virginia,VA,51520
Buena Vista City,5,0,0,2020-04-27,Virginia,VA,51530
Charlottesville City,51,2,13,2020-04-27,Virginia,VA,51540
Chesapeake City,220,6,50,2020-04-27,Virginia,VA,51550
Colonial Heights,47,4,0,2020-04-27,Virginia,VA,51570
Covington,1,0,0,2020-04-27,Virginia,VA,51580
Danville,33,1,13,2020-04-27,Virginia,VA,51590
Emporia,20,2,7,2020-04-27,Virginia,VA,51595
Fairfax City,27,2,4,2020-04-27,Virginia,VA,51600
Falls Church,26,2,3,2020-04-27,Virginia,VA,51610
Franklin City,18,0,1,2020-04-27,Virginia,VA,51620
Fredericksburg,27,0,6,2020-04-27,Virginia,VA,51630
Galax,4,0,1,2020-04-27,Virginia,VA,51640
Hampton,108,1,28,2020-04-27,Virginia,VA,51650
Harrisonburg City,406,9,25,2020-04-27,Virginia,VA,51660
Hopewell,24,0,8,2020-04-27,Virginia,VA,51670
Lexington,3,0,0,2020-04-27,Virginia,VA,51678
Lynchburg,51,1,5,2020-04-27,Virginia,VA,51680
Manassas,175,2,28,2020-04-27,Virginia,VA,51683
Manassas Park,53,1,8,2020-04-27,Virginia,VA,51685
Martinsville,2,0,0,2020-04-27,Virginia,VA,51690
Newport News City,112,7,33,2020-04-27,Virginia,VA,51700
Norfolk City,188,3,38,2020-04-27,Virginia,VA,51710
Norton,2,0,2,2020-04-27,Virginia,VA,51720
Petersburg,30,2,13,2020-04-27,Virginia,VA,51730
Poquoson,6,0,2,2020-04-27,Virginia,VA,51735
Portsmouth City,149,5,32,2020-04-27,Virginia,VA,51740
Radford,3,0,0,2020-04-27,Virginia,VA,51750
Richmond City,312,14,60,2020-04-27,Virginia,VA,51760
Roanoke City,35,0,5,2020-04-27,Virginia,VA,51770
Salem,12,0,1,2020-04-27,Virginia,VA,51775
Staunton,11,0,0,2020-04-27,Virginia,VA,51790
Suffolk City,152,8,32,2020-04-27,Virginia,VA,51800
Virginia Beach City,359,12,76,2020-04-27,Virginia,VA,51810
Waynesboro,11,0,1,2020-04-27,Virginia,VA,51820
Williamsburg City,18,1,6,2020-04-27,Virginia,VA,51830
Winchester,36,0,1,2020-04-27,Virginia,VA,51840
Allegany,115,5,NA,2020-04-27,Maryland,MD,24001
Anne Arundel,1571,78,NA,2020-04-27,Maryland,MD,24003
Baltimore City,1977,90,NA,2020-04-27,Maryland,MD,24510
Baltimore,2631,107,NA,2020-04-27,Maryland,MD,NA
Calvert,139,8,NA,2020-04-27,Maryland,MD,24009
Caroline,69,0,NA,2020-04-27,Maryland,MD,24011
Carroll,416,44,NA,2020-04-27,Maryland,MD,24013
Cecil,163,6,NA,2020-04-27,Maryland,MD,24015
Charles,539,39,NA,2020-04-27,Maryland,MD,24017
Dorchester,52,2,NA,2020-04-27,Maryland,MD,24019
Frederick,870,48,NA,2020-04-27,Maryland,MD,24021
Garrett,4,0,NA,2020-04-27,Maryland,MD,24023
Harford,358,13,NA,2020-04-27,Maryland,MD,24025
Howard,802,18,NA,2020-04-27,Maryland,MD,24027
Kent,73,4,NA,2020-04-27,Maryland,MD,24029
Montgomery,4003,221,NA,2020-04-27,Maryland,MD,24031
Prince Georges,5496,206,NA,2020-04-27,Maryland,MD,24033
Queen Annes,55,4,NA,2020-04-27,Maryland,MD,24035
St Marys,145,7,NA,2020-04-27,Maryland,MD,24037
Somerset,20,0,NA,2020-04-27,Maryland,MD,24039
Talbot,34,1,NA,2020-04-27,Maryland,MD,24041
Washington,187,3,NA,2020-04-27,Maryland,MD,24043
Wicomico,340,5,NA,2020-04-27,Maryland,MD,24045
Worcester,54,1,NA,2020-04-27,Maryland,MD,24047
Data Not Available,0,106,NA,2020-04-27,Maryland,MD,NA
Barbour,4,1,NA,2020-04-27,West Virginia,WV,54001
Berkeley,139,1,NA,2020-04-27,West Virginia,WV,54003
Boone,2,0,NA,2020-04-27,West Virginia,WV,54005
Braxton,2,0,NA,2020-04-27,West Virginia,WV,54007
Brooke,3,0,NA,2020-04-27,West Virginia,WV,54009
Cabell,39,0,NA,2020-04-27,West Virginia,WV,54011
Fayette,11,0,NA,2020-04-27,West Virginia,WV,54019
Gilmer,2,0,NA,2020-04-27,West Virginia,WV,54021
Grant,1,0,NA,2020-04-27,West Virginia,WV,54023
Greenbrier,3,0,NA,2020-04-27,West Virginia,WV,54025
Hampshire,7,1,NA,2020-04-27,West Virginia,WV,54027
Hancock,7,0,NA,2020-04-27,West Virginia,WV,54029
Hardy,3,0,NA,2020-04-27,West Virginia,WV,54031
Harrison,30,1,NA,2020-04-27,West Virginia,WV,54033
Jackson,127,12,NA,2020-04-27,West Virginia,WV,54035
Jefferson,75,0,NA,2020-04-27,West Virginia,WV,54037
Kanawha,156,4,NA,2020-04-27,West Virginia,WV,54039
Lewis,4,0,NA,2020-04-27,West Virginia,WV,54041
Lincoln,1,0,NA,2020-04-27,West Virginia,WV,54043
Logan,12,1,NA,2020-04-27,West Virginia,WV,54045
District of Columbia,3994,190,NA,2020-04-27,District of Columbia,DC,11001
Accomack,195,3,17,2020-04-26,Virginia,VA,51001
Albemarle,77,3,14,2020-04-26,Virginia,VA,51003
Alleghany,5,0,4,2020-04-26,Virginia,VA,51005
Amelia,15,1,6,2020-04-26,Virginia,VA,51007
Amherst,9,0,1,2020-04-26,Virginia,VA,51009
Appomattox,17,0,0,2020-04-26,Virginia,VA,51011
Arlington,836,32,144,2020-04-26,Virginia,VA,51013
Augusta,36,1,2,2020-04-26,Virginia,VA,51015
Bath,0,0,0,2020-04-26,Virginia,VA,51017
Bedford,25,0,1,2020-04-26,Virginia,VA,51019
Bland,0,0,0,2020-04-26,Virginia,VA,51021
Botetourt,27,3,9,2020-04-26,Virginia,VA,51023
Brunswick,14,0,3,2020-04-26,Virginia,VA,51025
Buchanan,14,0,0,2020-04-26,Virginia,VA,51027
Buckingham,45,0,6,2020-04-26,Virginia,VA,51029
Campbell,11,0,0,2020-04-26,Virginia,VA,51031
Caroline,21,0,4,2020-04-26,Virginia,VA,51033
Carroll,4,0,1,2020-04-26,Virginia,VA,51035
Charles City,13,1,5,2020-04-26,Virginia,VA,51036
Charlotte,7,0,1,2020-04-26,Virginia,VA,51037
Chesterfield,457,18,39,2020-04-26,Virginia,VA,51041
Clarke,7,0,1,2020-04-26,Virginia,VA,51043
Craig,2,0,0,2020-04-26,Virginia,VA,51045
Culpeper,113,2,10,2020-04-26,Virginia,VA,51047
Cumberland,10,0,1,2020-04-26,Virginia,VA,51049
Dickenson,0,0,0,2020-04-26,Virginia,VA,51051
Dinwiddie,15,0,6,2020-04-26,Virginia,VA,51053
Essex,6,0,1,2020-04-26,Virginia,VA,51057
Fairfax,3002,100,522,2020-04-26,Virginia,VA,51059
Fauquier,96,2,8,2020-04-26,Virginia,VA,51061
Floyd,1,0,0,2020-04-26,Virginia,VA,51063
Fluvanna,73,5,19,2020-04-26,Virginia,VA,51065
Franklin,19,0,3,2020-04-26,Virginia,VA,51067
Frederick,95,0,11,2020-04-26,Virginia,VA,51069
Giles,4,0,0,2020-04-26,Virginia,VA,51071
Gloucester,22,1,4,2020-04-26,Virginia,VA,51073
Goochland,72,3,9,2020-04-26,Virginia,VA,51075
Grayson,0,0,0,2020-04-26,Virginia,VA,51077
Greene,10,1,2,2020-04-26,Virginia,VA,51079
Greensville,36,6,9,2020-04-26,Virginia,VA,51081
Halifax,17,0,1,2020-04-26,Virginia,VA,51083
Hanover,108,7,25,2020-04-26,Virginia,VA,51085
Henrico,817,89,116,2020-04-26,Virginia,VA,51087
Henry,15,1,2,2020-04-26,Virginia,VA,51089
Highland,1,0,0,2020-04-26,Virginia,VA,51091
Isle of Wight,93,2,9,2020-04-26,Virginia,VA,51093
James City,154,12,51,2020-04-26,Virginia,VA,51095
King and Queen,2,0,0,2020-04-26,Virginia,VA,51097
King George,28,4,12,2020-04-26,Virginia,VA,51099
King William,5,0,1,2020-04-26,Virginia,VA,51101
Lancaster,1,0,1,2020-04-26,Virginia,VA,51103
Lee,8,0,1,2020-04-26,Virginia,VA,51105
Loudoun,628,12,78,2020-04-26,Virginia,VA,51107
Louisa,41,0,9,2020-04-26,Virginia,VA,51109
Lunenburg,4,0,0,2020-04-26,Virginia,VA,51111
Madison,14,0,1,2020-04-26,Virginia,VA,51113
Mathews,4,0,1,2020-04-26,Virginia,VA,51115
Mecklenburg,98,9,19,2020-04-26,Virginia,VA,51117
Middlesex,4,0,0,2020-04-26,Virginia,VA,51119
Montgomery,54,1,6,2020-04-26,Virginia,VA,51121
Nelson,7,0,0,2020-04-26,Virginia,VA,51125
New Kent,20,1,4,2020-04-26,Virginia,VA,51127
Northampton,28,0,3,2020-04-26,Virginia,VA,51131
Northumberland,8,0,0,2020-04-26,Virginia,VA,51133
Nottoway,11,0,0,2020-04-26,Virginia,VA,51135
Orange,26,0,3,2020-04-26,Virginia,VA,51137
Page,87,0,9,2020-04-26,Virginia,VA,51139
Patrick,2,0,0,2020-04-26,Virginia,VA,51141
Pittsylvania,11,1,5,2020-04-26,Virginia,VA,51143
Powhatan,11,0,0,2020-04-26,Virginia,VA,51145
Prince Edward,41,2,3,2020-04-26,Virginia,VA,51147
Prince George,31,0,4,2020-04-26,Virginia,VA,51149
Prince William,1353,20,137,2020-04-26,Virginia,VA,51153
Pulaski,9,0,2,2020-04-26,Virginia,VA,51155
Rappahannock,1,0,0,2020-04-26,Virginia,VA,51157
Richmond County,132,0,4,2020-04-26,Virginia,VA,51159
Roanoke County,41,0,1,2020-04-26,Virginia,VA,51161
Rockbridge,5,0,0,2020-04-26,Virginia,VA,51163
Rockingham,193,1,14,2020-04-26,Virginia,VA,51165
Russell,3,0,1,2020-04-26,Virginia,VA,51167
Scott,6,1,1,2020-04-26,Virginia,VA,51169
Shenandoah,78,2,10,2020-04-26,Virginia,VA,51171
Smyth,13,0,4,2020-04-26,Virginia,VA,51173
Southampton,115,1,3,2020-04-26,Virginia,VA,51175
Spotsylvania,119,3,23,2020-04-26,Virginia,VA,51177
Stafford,218,2,42,2020-04-26,Virginia,VA,51179
Surry,4,1,1,2020-04-26,Virginia,VA,51181
Sussex,30,1,3,2020-04-26,Virginia,VA,51183
Tazewell,5,0,0,2020-04-26,Virginia,VA,51185
Warren,44,0,3,2020-04-26,Virginia,VA,51187
Washington,34,3,8,2020-04-26,Virginia,VA,51191
Westmoreland,20,0,2,2020-04-26,Virginia,VA,51193
Wise,21,1,9,2020-04-26,Virginia,VA,51195
Wythe,11,1,1,2020-04-26,Virginia,VA,51197
York,44,1,6,2020-04-26,Virginia,VA,51199
Alexandria City,627,18,79,2020-04-26,Virginia,VA,51510
Bristol,1,0,0,2020-04-26,Virginia,VA,51520
Buena Vista City,5,0,0,2020-04-26,Virginia,VA,51530
Charlottesville City,50,2,13,2020-04-26,Virginia,VA,51540
Chesapeake City,214,6,45,2020-04-26,Virginia,VA,51550
Colonial Heights,45,3,0,2020-04-26,Virginia,VA,51570
Covington,1,0,0,2020-04-26,Virginia,VA,51580
Danville,33,1,13,2020-04-26,Virginia,VA,51590
Emporia,20,2,7,2020-04-26,Virginia,VA,51595
Fairfax City,27,2,4,2020-04-26,Virginia,VA,51600
Falls Church,26,2,3,2020-04-26,Virginia,VA,51610
Franklin City,16,0,0,2020-04-26,Virginia,VA,51620
Fredericksburg,24,0,6,2020-04-26,Virginia,VA,51630
Galax,3,0,1,2020-04-26,Virginia,VA,51640
Hampton,108,1,28,2020-04-26,Virginia,VA,51650
Harrisonburg City,383,9,25,2020-04-26,Virginia,VA,51660
Hopewell,24,0,8,2020-04-26,Virginia,VA,51670
Lexington,3,0,0,2020-04-26,Virginia,VA,51678
Lynchburg,51,1,5,2020-04-26,Virginia,VA,51680
Manassas,165,2,26,2020-04-26,Virginia,VA,51683
Manassas Park,50,1,8,2020-04-26,Virginia,VA,51685
Martinsville,0,0,0,2020-04-26,Virginia,VA,51690
Newport News City,112,7,33,2020-04-26,Virginia,VA,51700
Norfolk City,184,3,36,2020-04-26,Virginia,VA,51710
Norton,2,0,2,2020-04-26,Virginia,VA,51720
Petersburg,30,2,13,2020-04-26,Virginia,VA,51730
Poquoson,6,0,2,2020-04-26,Virginia,VA,51735
Portsmouth City,114,5,32,2020-04-26,Virginia,VA,51740
Radford,3,0,0,2020-04-26,Virginia,VA,51750
Richmond City,304,14,59,2020-04-26,Virginia,VA,51760
Roanoke City,33,0,5,2020-04-26,Virginia,VA,51770
Salem,11,0,0,2020-04-26,Virginia,VA,51775
Staunton,10,0,0,2020-04-26,Virginia,VA,51790
Suffolk City,147,5,31,2020-04-26,Virginia,VA,51800
Virginia Beach City,355,10,72,2020-04-26,Virginia,VA,51810
Waynesboro,11,0,1,2020-04-26,Virginia,VA,51820
Williamsburg City,15,1,6,2020-04-26,Virginia,VA,51830
Winchester,33,0,1,2020-04-26,Virginia,VA,51840
Allegany,114,4,NA,2020-04-26,Maryland,MD,24001
Anne Arundel,1544,74,NA,2020-04-26,Maryland,MD,24003
Baltimore City,1933,88,NA,2020-04-26,Maryland,MD,24510
Baltimore,2548,98,NA,2020-04-26,Maryland,MD,NA
Calvert,138,7,NA,2020-04-26,Maryland,MD,24009
Caroline,68,0,NA,2020-04-26,Maryland,MD,24011
Carroll,403,37,NA,2020-04-26,Maryland,MD,24013
Cecil,163,5,NA,2020-04-26,Maryland,MD,24015
Charles,529,37,NA,2020-04-26,Maryland,MD,24017
Dorchester,51,2,NA,2020-04-26,Maryland,MD,24019
Frederick,865,48,NA,2020-04-26,Maryland,MD,24021
Garrett,4,0,NA,2020-04-26,Maryland,MD,24023
Harford,352,11,NA,2020-04-26,Maryland,MD,24025
Howard,778,17,NA,2020-04-26,Maryland,MD,24027
Kent,70,4,NA,2020-04-26,Maryland,MD,24029
Montgomery,3843,210,NA,2020-04-26,Maryland,MD,24031
Prince Georges,5263,198,NA,2020-04-26,Maryland,MD,24033
Queen Annes,54,3,NA,2020-04-26,Maryland,MD,24035
St Marys,144,6,NA,2020-04-26,Maryland,MD,24037
Somerset,19,0,NA,2020-04-26,Maryland,MD,24039
Talbot,34,1,NA,2020-04-26,Maryland,MD,24041
Washington,181,3,NA,2020-04-26,Maryland,MD,24043
Wicomico,336,5,NA,2020-04-26,Maryland,MD,24045
Worcester,53,0,NA,2020-04-26,Maryland,MD,24047
Data Not Available,0,87,NA,2020-04-26,Maryland,MD,NA
Barbour,4,1,NA,2020-04-26,West Virginia,WV,54001
Berkeley,139,1,NA,2020-04-26,West Virginia,WV,54003
Boone,2,0,NA,2020-04-26,West Virginia,WV,54005
Braxton,2,0,NA,2020-04-26,West Virginia,WV,54007
Brooke,3,0,NA,2020-04-26,West Virginia,WV,54009
Cabell,40,0,NA,2020-04-26,West Virginia,WV,54011
Fayette,10,0,NA,2020-04-26,West Virginia,WV,54019
Gilmer,2,0,NA,2020-04-26,West Virginia,WV,54021
Grant,1,0,NA,2020-04-26,West Virginia,WV,54023
Greenbrier,3,0,NA,2020-04-26,West Virginia,WV,54025
Hampshire,7,1,NA,2020-04-26,West Virginia,WV,54027
Hancock,7,0,NA,2020-04-26,West Virginia,WV,54029
Hardy,3,0,NA,2020-04-26,West Virginia,WV,54031
Harrison,30,1,NA,2020-04-26,West Virginia,WV,54033
Jackson,127,12,NA,2020-04-26,West Virginia,WV,54035
Jefferson,75,0,NA,2020-04-26,West Virginia,WV,54037
Kanawha,156,4,NA,2020-04-26,West Virginia,WV,54039
Lewis,4,0,NA,2020-04-26,West Virginia,WV,54041
Lincoln,1,0,NA,2020-04-26,West Virginia,WV,54043
Logan,12,1,NA,2020-04-26,West Virginia,WV,54045
District of Columbia,3892,185,NA,2020-04-26,District of Columbia,DC,11001
Accomack,187,3,17,2020-04-25,Virginia,VA,51001
Albemarle,76,3,13,2020-04-25,Virginia,VA,51003
Alleghany,5,0,4,2020-04-25,Virginia,VA,51005
Amelia,15,1,6,2020-04-25,Virginia,VA,51007
Amherst,9,0,1,2020-04-25,Virginia,VA,51009
Appomattox,17,0,0,2020-04-25,Virginia,VA,51011
Arlington,790,32,141,2020-04-25,Virginia,VA,51013
Augusta,36,1,2,2020-04-25,Virginia,VA,51015
Bath,0,0,0,2020-04-25,Virginia,VA,51017
Bedford,24,0,1,2020-04-25,Virginia,VA,51019
Bland,0,0,0,2020-04-25,Virginia,VA,51021
Botetourt,27,3,9,2020-04-25,Virginia,VA,51023
Brunswick,14,0,3,2020-04-25,Virginia,VA,51025
Buchanan,13,0,0,2020-04-25,Virginia,VA,51027
Buckingham,35,0,6,2020-04-25,Virginia,VA,51029
Campbell,11,0,0,2020-04-25,Virginia,VA,51031
Caroline,21,0,4,2020-04-25,Virginia,VA,51033
Carroll,3,0,1,2020-04-25,Virginia,VA,51035
Charles City,13,1,5,2020-04-25,Virginia,VA,51036
Charlotte,7,0,1,2020-04-25,Virginia,VA,51037
Chesterfield,457,18,39,2020-04-25,Virginia,VA,51041
Clarke,7,0,1,2020-04-25,Virginia,VA,51043
Craig,2,0,0,2020-04-25,Virginia,VA,51045
Culpeper,103,1,10,2020-04-25,Virginia,VA,51047
Cumberland,10,0,1,2020-04-25,Virginia,VA,51049
Dickenson,0,0,0,2020-04-25,Virginia,VA,51051
Dinwiddie,14,0,6,2020-04-25,Virginia,VA,51053
Essex,6,0,1,2020-04-25,Virginia,VA,51057
Fairfax,2889,95,509,2020-04-25,Virginia,VA,51059
Fauquier,87,2,7,2020-04-25,Virginia,VA,51061
Floyd,1,0,0,2020-04-25,Virginia,VA,51063
Fluvanna,72,5,13,2020-04-25,Virginia,VA,51065
Franklin,19,0,3,2020-04-25,Virginia,VA,51067
Frederick,93,0,11,2020-04-25,Virginia,VA,51069
Giles,4,0,0,2020-04-25,Virginia,VA,51071
Gloucester,22,1,4,2020-04-25,Virginia,VA,51073
Goochland,70,3,9,2020-04-25,Virginia,VA,51075
Grayson,0,0,0,2020-04-25,Virginia,VA,51077
Greene,10,1,2,2020-04-25,Virginia,VA,51079
Greensville,30,5,8,2020-04-25,Virginia,VA,51081
Halifax,17,0,1,2020-04-25,Virginia,VA,51083
Hanover,105,7,25,2020-04-25,Virginia,VA,51085
Henrico,792,89,116,2020-04-25,Virginia,VA,51087
Henry,14,1,2,2020-04-25,Virginia,VA,51089
Highland,1,0,0,2020-04-25,Virginia,VA,51091
Isle of Wight,93,2,9,2020-04-25,Virginia,VA,51093
James City,153,12,51,2020-04-25,Virginia,VA,51095
King and Queen,2,0,0,2020-04-25,Virginia,VA,51097
King George,27,4,12,2020-04-25,Virginia,VA,51099
King William,5,0,1,2020-04-25,Virginia,VA,51101
Lancaster,1,0,1,2020-04-25,Virginia,VA,51103
Lee,8,0,1,2020-04-25,Virginia,VA,51105
Loudoun,596,11,76,2020-04-25,Virginia,VA,51107
Louisa,40,0,9,2020-04-25,Virginia,VA,51109
Lunenburg,4,0,0,2020-04-25,Virginia,VA,51111
Madison,14,0,1,2020-04-25,Virginia,VA,51113
Mathews,4,0,1,2020-04-25,Virginia,VA,51115
Mecklenburg,94,9,19,2020-04-25,Virginia,VA,51117
Middlesex,4,0,0,2020-04-25,Virginia,VA,51119
Montgomery,51,1,6,2020-04-25,Virginia,VA,51121
Nelson,7,0,0,2020-04-25,Virginia,VA,51125
New Kent,20,1,4,2020-04-25,Virginia,VA,51127
Northampton,24,0,1,2020-04-25,Virginia,VA,51131
Northumberland,8,0,0,2020-04-25,Virginia,VA,51133
Nottoway,11,0,0,2020-04-25,Virginia,VA,51135
Orange,26,0,3,2020-04-25,Virginia,VA,51137
Page,84,0,9,2020-04-25,Virginia,VA,51139
Patrick,2,0,0,2020-04-25,Virginia,VA,51141
Pittsylvania,11,1,4,2020-04-25,Virginia,VA,51143
Powhatan,11,0,0,2020-04-25,Virginia,VA,51145
Prince Edward,41,2,3,2020-04-25,Virginia,VA,51147
Prince George,30,0,4,2020-04-25,Virginia,VA,51149
Prince William,1265,19,124,2020-04-25,Virginia,VA,51153
Pulaski,10,0,2,2020-04-25,Virginia,VA,51155
Rappahannock,2,0,0,2020-04-25,Virginia,VA,51157
Richmond County,89,0,4,2020-04-25,Virginia,VA,51159
Roanoke County,39,0,1,2020-04-25,Virginia,VA,51161
Rockbridge,5,0,0,2020-04-25,Virginia,VA,51163
Rockingham,184,1,14,2020-04-25,Virginia,VA,51165
Russell,3,0,1,2020-04-25,Virginia,VA,51167
Scott,6,1,1,2020-04-25,Virginia,VA,51169
Shenandoah,74,1,10,2020-04-25,Virginia,VA,51171
Smyth,13,0,4,2020-04-25,Virginia,VA,51173
Southampton,115,1,3,2020-04-25,Virginia,VA,51175
Spotsylvania,107,3,23,2020-04-25,Virginia,VA,51177
Stafford,213,2,42,2020-04-25,Virginia,VA,51179
Surry,4,1,1,2020-04-25,Virginia,VA,51181
Sussex,28,1,3,2020-04-25,Virginia,VA,51183
Tazewell,4,0,0,2020-04-25,Virginia,VA,51185
Warren,43,0,3,2020-04-25,Virginia,VA,51187
Washington,34,3,8,2020-04-25,Virginia,VA,51191
Westmoreland,20,0,2,2020-04-25,Virginia,VA,51193
Wise,20,1,9,2020-04-25,Virginia,VA,51195
Wythe,11,1,1,2020-04-25,Virginia,VA,51197
York,44,1,6,2020-04-25,Virginia,VA,51199
Alexandria City,591,19,80,2020-04-25,Virginia,VA,51510
Bristol,1,0,0,2020-04-25,Virginia,VA,51520
Buena Vista City,5,0,0,2020-04-25,Virginia,VA,51530
Charlottesville City,49,2,13,2020-04-25,Virginia,VA,51540
Chesapeake City,208,6,45,2020-04-25,Virginia,VA,51550
Colonial Heights,45,3,0,2020-04-25,Virginia,VA,51570
Covington,1,0,0,2020-04-25,Virginia,VA,51580
Danville,33,1,13,2020-04-25,Virginia,VA,51590
Emporia,18,2,7,2020-04-25,Virginia,VA,51595
Fairfax City,26,2,4,2020-04-25,Virginia,VA,51600
Falls Church,26,2,3,2020-04-25,Virginia,VA,51610
Franklin City,16,0,0,2020-04-25,Virginia,VA,51620
Fredericksburg,23,0,6,2020-04-25,Virginia,VA,51630
